point: 2024-12-3 12:51:0 (60 seconds elapsed) | Message: 11 | Mode: GSM | ICCID: 4 | Latitude: 44.9766 | Longitude: 1.0935
point: 2024-12-3 12:52:0 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9764 | Longitude: 1.0942
point: 2024-12-3 12:53:0 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9766 | Longitude: 1.0942
point: 2024-12-3 12:52:0 (-60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9764 | Longitude: 1.0942
point: 2024-12-3 12:53:0 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9766 | Longitude: 1.0942
point: 2024-12-3 12:54:0 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9774 | Longitude: 1.0941
point: 2024-12-3 12:55:0 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9781 | Longitude: 1.0943
point: 2024-12-3 12:56:0 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9785 | Longitude: 1.0948
point: 2024-12-3 12:52:0 (-240 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9764 | Longitude: 1.0942
point: 2024-12-3 12:53:0 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9766 | Longitude: 1.0942
point: 2024-12-3 12:54:0 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9774 | Longitude: 1.0941
point: 2024-12-3 12:55:0 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9781 | Longitude: 1.0943
point: 2024-12-3 12:56:0 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9785 | Longitude: 1.0948
point: 2024-12-3 12:57:0 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9782 | Longitude: 1.0957
point: 2024-12-3 12:58:0 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9780 | Longitude: 1.0967
point: 2024-12-3 13:4:10 (370 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9798 | Longitude: 1.0965
point: 2024-12-3 13:4:20 (10 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9799 | Longitude: 1.0965
point: 2024-12-3 13:5:20 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9801 | Longitude: 1.0962
point: 2024-12-3 13:6:20 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9806 | Longitude: 1.0955
point: 2024-12-3 13:7:20 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9810 | Longitude: 1.0948
point: 2024-12-3 13:8:20 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9816 | Longitude: 1.0940
point: 2024-12-3 13:14:20 (360 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9852 | Longitude: 1.0912
point: 2024-12-3 13:14:30 (10 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9852 | Longitude: 1.0908
point: 2024-12-3 13:15:30 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9855 | Longitude: 1.0899
point: 2024-12-3 13:16:30 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9858 | Longitude: 1.0890
point: 2024-12-3 13:17:30 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9861 | Longitude: 1.0880
point: 2024-12-3 13:18:30 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9866 | Longitude: 1.0872
point: 2024-12-3 13:24:40 (370 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9898 | Longitude: 1.0844
point: 2024-12-3 13:24:50 (10 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9899 | Longitude: 1.0844
point: 2024-12-3 13:25:50 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9907 | Longitude: 1.0844
point: 2024-12-3 13:26:50 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9912 | Longitude: 1.0844
point: 2024-12-3 13:27:50 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9920 | Longitude: 1.0846
point: 2024-12-3 13:28:50 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9926 | Longitude: 1.0841
point: 2024-12-3 13:34:50 (360 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9954 | Longitude: 1.0812
point: 2024-12-3 13:35:0 (10 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9954 | Longitude: 1.0811
point: 2024-12-3 13:36:0 (60 seconds elapsed) | Message: 12 | Mode: GSM | ICCID: 4 | Latitude: 44.9956 | Longitude: 1.0804
point: 2024-12-3 13:37:0 (60 seconds elapsed) | Message: 13 | Mode: GSM | ICCID: 4 | Latitude: 44.9956 | Longitude: 1.0793
point: 2024-12-3 13:38:0 (60 seconds elapsed) | Message: 14 | Mode: GSM | ICCID: 4 | Latitude: 44.9954 | Longitude: 1.0789
point: 2024-12-3 13:39:0 (60 seconds elapsed) | Message: 15 | Mode: GSM | ICCID: 4 | Latitude: 44.9947 | Longitude: 1.0788
point: 2024-12-3 13:40:0 (60 seconds elapsed) | Message: 15 | Mode: GSM | ICCID: 4 | Latitude: 44.9942 | Longitude: 1.0786
point: 2024-12-3 13:41:0 (60 seconds elapsed) | Message: 16 | Mode: GSM | ICCID: 4 | Latitude: 44.9934 | Longitude: 1.0786
